,calories,carbs,description,fat,ingredients,protein,rating,reviews,title
128,508kcal,25.5g,"&#34;This is a very good hot chili recipe of my own. Chili lovers should enjoy this very much. Sprinkle with Colby Jack cheese, which melts well and doesn't get stringy.&#34;",35.1g,"['1 onion, chopped', '1 green bell pepper, chopped', '1 clove garlic, minced', '2 tablespoons olive oil', '2 pounds ground beef', '4 (11.5 ounce) cans tomato-vegetable juice cocktail', '1 (10.75 ounce) can condensed tomato soup', '1 (16 ounce) can chili beans, drained', '1/8 teaspoon cayenne pepper', '3 tablespoons chili powder', '1 tablespoon soy sauce', '1 cup water']",24.6g,3.87,6,Ez's Slow Cooker Hot Chili Recipe - Allrecipes.com
129,397kcal,24.5g,"&#34;Loaded with ground beef and Polish sausage, red wine, tomatoes, bell pepper, and as spicy as you like it... Made this way, it has a serious bite!&#34;",22.1g,"['1/2 pound bacon', '1 pound kielbasa sausage, cut into 1 inch pieces', '1 pound ground beef', '1 large onion, chopped', '1 green bell pepper, chopped', '1 tablespoon chopped jalapeno pepper', '1 cup Merlot wine', '2 (28 ounce) cans whole peeled tomatoes, mashed, liquid reserved', '2 tablespoons chili powder, or to taste', '2 (15.5 ounce) cans pinto beans, drained (optional)']",21.9g,4.44,14,Monica's He-Man Chili Recipe - Allrecipes.com
130,417kcal,25.4g,"&#34;This makes a very thick chili. For a thinner chili, omit the tomato paste. For a chili soup, omit tomato paste and sauce and use 1 can (16 ounces) tomatoes with liquid and add 1/2 cup water and 1 beef bouillon cube.&#34;",24.6g,"['1 1/2 pounds lean ground beef', '1 onion, finely diced', '1/4 cup chopped green bell pepper', '1 (15 ounce) can tomato sauce', '6 ounces tomato paste', '1 (16 ounce) can chili beans, drained', '1 tablespoon chili powder', '1 teaspoon hot pepper sauce', '1/2 teaspoon seasoning salt', '1/2 teaspoon ground cayenne pepper', '1/4 teaspoon garlic powder']",26.7g,4.63,67,Skillet Chili Recipe - Allrecipes.com
131,391kcal,70.9g,&#34;This recipe is one that I have made several times now. It is very tasty and nutritious. It is a little spicy. Can serve with corn bread or over pasta topped with Cheddar cheese.&#34;,6.6g,"['2 tablespoons vegetable oil', '1 onion, diced', '1 teaspoon ground cayenne pepper', '2 teaspoons dried oregano', '1 pound frozen corn kernels', '2 (14.5 ounce) cans Mexican-style stewed tomatoes', '1 (15 ounce) can pinto beans, drained', '1 (15 ounce) can kidney beans, drained', '2 teaspoons chicken bouillon granules', '1 cup water', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper', '1 1/2 cups tomato sauce', '2 tablespoons tomato paste']",18.7g,4.55,15,Corn Chili Recipe - Allrecipes.com
132,386kcal,55g,&#34;Delicious white chicken chili! Make on stove top or let it simmer all day in slow cooker.&#34;,7.3g,"['1 tablespoon olive oil', '1 onion, chopped', '1 jalapeno pepper, seeded and chopped (optional)', '3 cloves garlic, minced', '4 cups chicken broth', '2 (15.5 ounce) cans Great Northern beans, drained and rinsed', '1 (15 ounce) can garbanzo beans, drained', '1 cup corn kernels', '1 (7 ounce) can diced green chiles', '2 tablespoons minced fresh cilantro', '1 tablespoon lime juice', '2 teaspoons ground cumin', '1 teaspoon ground black pepper', '4 cooked chicken breast halves, cubed', '2 tablespoons cornstarch', '1/4 cup cold water']",27.1g,4.63,33,Spicy White Chili with Chicken Recipe - Allrecipes.com
133,281kcal,42.6g,"&#34;Black bean veggie chili, richly spiced, can be ready for dinner or game day in only 30 minutes.&#34;",4.8g,"['1 tablespoon Spectrum&#174; Olive Oil Extra Virgin Cold Pressed', '1 1/2 cups chopped red onions', '1 cup chopped green bell pepper', '1 cup chopped celery', '2 teaspoons minced garlic', '1 (340 gram) package Yves Veggie Cuisine&#174; Mexican Veggie Ground Round', '1 1/2 tablespoons chili powder', '2 teaspoons ground cumin', '2 teaspoons dried oregano', '1 teaspoon ground coriander', '1/2 teaspoon crushed red pepper flakes', '1/4 teaspoon ground cinnamon', '1 (796 mL) can diced tomatoes, undrained', '2 (540 mL) cans Yves Veggie Cuisine&#174; Organic Black Beans, canned', '1 (398 mL) can tomato sauce', '1 cup Imagine&#174; Organic Vegetable Broth', '1 tablespoon brown sugar', '1/2 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '1/4 cup chopped fresh cilantro (optional)']",18.5g,0.00,0,Veggie Chili Recipe - Allrecipes.com
134,526kcal,48g,"&#34;Chocolate, Guinness&#174; extra stout beer, and spicy sausage are the signature ingredients in this beef and bean chili.&#34;",25.6g,"['2 (29 ounce) cans tomato sauce', '2 (28 ounce) cans Italian-style diced tomatoes', '2 cups diced onion', '2 tablespoons ground cumin', '1 teaspoon cayenne pepper', '1 teaspoon ground black pepper', '1 pound bacon, diced', '2 pounds bulk spicy sausage', '3 pounds lean ground beef', '1 (32 ounce) bottle hickory smoke barbeque sauce', '1/2 cup chili powder', '4 (15.25 ounce) cans kidney beans, undrained', '2 (1 ounce) squares unsweetened chocolate, chopped', '2 (12 fluid ounce) cans or bottles Irish stout beer (such as Guinness&#174;)', '1 cup masa flour']",29.8g,1.00,0,Debbie's Chocolate Chili Recipe - Allrecipes.com
135,613kcal,78.6g,"&#34;This is a delicious and exotic alternative to American-style chili. It's not too spicy, but combines intriguing flavors. I adapted this recipe from a traditional Afghani family favorite. It may be cooked in a slow cooker, Dutch oven, or soup pot. Try it also with ground lamb or ground turkey.&#34;",20.7g,"['1 pound ground beef', '1 onion, coarsely chopped', '1 (28 ounce) can diced tomatoes, with juice', '1 tablespoon minced garlic', '1 teaspoon crushed red pepper flakes', '1 1/2 tablespoons ground cumin', '2 teaspoons chili powder', '1 1/2 tablespoons dried mint', '2 tablespoons garam masala', '1 (15 ounce) can garbanzo beans (chickpeas), drained', '1 (10 ounce) box frozen chopped spinach, thawed and drained', '1 (16 ounce) package fettuccine, broken in half', '1 cup sour cream']",30g,4.39,35,Aush (Afghani Chili) Recipe - Allrecipes.com
136,190kcal,35.1g,"&#34;A chili using no meat, eggs or dairy products.  Tastes great in a bread bowl and is easy to make!  This soup should never be made the same way twice!  Add red, green or yellow bell peppers in the first step, experiment with the beans, or add whatever your heart desires.  For a non-veggie dish, add 1 lb ground beef and some sour cream.  This soup should never be made the same way twice!  Add red, green or yellow bell peppers in the first step, experiment with the beans, or add whatever your heart desires.  For a non-veggie dish, add 1 lb ground beef and some sour cream.&#34;",2.4g,"['1 tablespoon olive oil', '1 pound sliced fresh mushrooms', '2 cloves garlic, minced', '1 small onion, finely chopped', '2 stalks celery, chopped', '1 (29 ounce) can tomato sauce', '1 (6 ounce) can tomato paste', '3 (15 ounce) cans kidney beans', '1 (11 ounce) can Mexican-style corn']",10.9g,4.12,14,Vegan Taco Chili Recipe - Allrecipes.com
137,436kcal,20.2g,"&#34;Spices permeate the entire dish - cumin, oregano, and cayenne pepper - and hominy adds an authentic Southwestern accent to this chicken chili. Save a big chunk of time simply by using rotisserie chickens from the supermarket and canned chicken broth as the chili base.&#34;",25g,"['2 store-bought roast chickens, meat picked from bones and', '2 quarts chicken broth', '6 tablespoons vegetable oil', '1/4 cup ground cumin', '4 teaspoons dried oregano', '1/2 teaspoon cayenne pepper', '2 large onions, cut into medium dice', '2 (4 ounce) jars diced mild green chiles', '2 (20 ounce) cans hominy, or equal quantity of canned white beans, such as cannellini or great Northern', '6 medium garlic cloves, minced', '2 cups frozen corn, preferably shoepeg', 'sour cream', 'cilantro or scallions', 'lime wedges', 'green hot sauce']",32.1g,4.29,13,Rotisserie Chicken Chili With Hominy and Chiles Recipe - Allrecipes.com
138,182kcal,6.5g,&#34;Enjoy the flavor of Buffalo chicken recreated in this hearty black bean chili.&#34;,8.4g,"['PAM&#174; Original No-Stick Cooking Spray', '1 1/4 pounds boneless, skinless chicken thighs, cut into bite-size pieces', '1 1/2 cups sliced celery', '1 (15 ounce) can Rosarita&#174; Premium Whole Black Beans, drained, rinsed', ""1 (14.5 ounce) can Hunt's&#174; Fire Roasted Diced Tomatoes with Garlic, undrained"", ""1 (8 ounce) can Hunt's&#174; Tomato Sauce"", '2 tablespoons cayenne pepper sauce', '1/3 cup crumbled blue cheese']",18.9g,4.00,4,Buffalo Chicken Chili by PAM® Recipe - Allrecipes.com
139,177kcal,27.1g,"&#34;This easy chili is unique and delicious. It has the added bonuses of iron, vitamin A, and protein. It's also completely vegetarian!&#34;",2.4g,"['1 (28 ounce) can diced tomatoes', '1 (14 ounce) can 100% pure pumpkin', '1 cup vegetable juice', '1 cup chopped okra', '1 cup chopped broccoli', '1 carrot, peeled and chopped', '1 small zucchini, diced', '1 small onion, diced', '2 tablespoons pumpkin pie spice', '2 tablespoons white sugar', '2 tablespoons white vinegar', '1 teaspoon chili powder, or to taste', '1 teaspoon salt', '1/2 teaspoon ground black pepper', '1 (12 ounce) package vegetarian ground beef crumbles', '1 (19 ounce) can fava beans, drained', '2 cups chopped spinach']",12.1g,3.71,16,Vegetarian Pumpkin Spinach Chili Recipe - Allrecipes.com
140,226kcal,14.7g,"&#34;My husband won't eat beans but LOVES chili, so I had to come up with this variation on an old favorite. Instead, it contains lots of canned tomatoes and onion. This is great served over rice with some shredded cheese and a dollop of sour cream. Ground turkey may be substituted for ground beef.&#34;",12.7g,"['1 pound ground beef', '2 cloves garlic, minced', '1 large onion, chopped', '2 tablespoons chili powder', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '1 teaspoon hot pepper sauce', '1 (28 ounce) can crushed tomatoes', '1/4 cup red wine vinegar']",15.4g,4.22,164,No Beans About It - Chili Recipe - Allrecipes.com
141,458kcal,48.7g,"&#34;I love a spicy and thick chili during fall and winter months; this recipe (made with ground turkey) kicks butt! The cocoa powder is the secret ingredient! Works best to have all your ingredients chopped drained and ready before you start, as it thickens up pretty fast over the heat.&#34;",17.1g,"['3 tablespoons extra-virgin olive oil', '2 yellow onions, chopped', '1 green bell pepper, seeded and minced', '1 red bell pepper, seeded and minced', '6 cloves garlic, minced', '1 1/3 pounds ground turkey', '2 tablespoons chili powder', '2 tablespoons dried oregano', '1 tablespoon paprika', '1 tablespoon ground cumin', '2 teaspoons seasoned salt', '1 1/2 teaspoons red pepper flakes', '1 teaspoon ground black pepper', '1 teaspoon unsweetened cocoa powder', '2 (14.5 ounce) cans diced tomatoes with green chile peppers, liquid drained and reserved', '1 (15 ounce) can red chili beans, rinsed and drained', '1 (15 ounce) can black beans, rinsed and drained', '1 (6 ounce) can tomato paste', '3/4 cup light beer (such as Miller Lite&#174;)', '1 tablespoon Worcestershire sauce', '1/2 teaspoon hickory-flavored liquid smoke', '1/2 cup low-sodium tomato juice', '2 tablespoons hot pepper sauce (such as Tabasco&#174;)']",32.7g,4.43,5,Spicy and Thick Turkey Chili Recipe - Allrecipes.com
142,233kcal,42g,&#34;Vegetarian chili with quinoa. Sprinkle cheese on top to serve.&#34;,3.5g,"['1 cup uncooked quinoa, rinsed', '2 cups water', '1 tablespoon vegetable oil', '1 onion, chopped', '4 cloves garlic, chopped', '1 tablespoon chili powder', '1 tablespoon ground cumin', '1 (28 ounce) can crushed tomatoes', '2 (19 ounce) cans black beans, rinsed and drained', '1 green bell pepper, chopped', '1 red bell pepper, chopped', '1 zucchini, chopped', '1 jalapeno pepper, seeded and minced', '1 tablespoon minced chipotle peppers in adobo sauce', '1 teaspoon dried oregano', 'salt and ground black pepper to taste', '1 cup frozen corn', '1/4 cup chopped fresh cilantro']",11.5g,4.62,273,Quinoa and Black Bean Chili Recipe - Allrecipes.com
143,271kcal,36g,&#34;The pumpkin is a great surprise in this chili! It makes the whole house smell good and tastes great! Garnish with cheese and jalapenos if desired. This recipe can be made on stovetop too. Cooking time would be reduced to 30-45 minutes for chili to simmer.&#34;,6.4g,"['1 pound ground beef', '1/2 teaspoon crushed red pepper flakes, or to taste', '1 teaspoon minced garlic', '1/2 large onion, diced', '1 green bell pepper, chopped', '1 red bell pepper, chopped', '1 (15 ounce) can kidney beans, rinsed and drained', '1 (15 ounce) can black beans, rinsed and drained', '1 (15 ounce) can Great Northern beans, drained and rinsed', '1 (8 ounce) can tomato sauce', '1 (4 ounce) can tomato sauce with garlic and onions', '2 (14.5 ounce) cans petite diced tomatoes', '1 (14.5 ounce) can fire roasted diced tomatoes', '1 (15 ounce) can pumpkin puree', '2 teaspoons pumpkin pie spice', '2 teaspoons chili powder', '1 teaspoon ground cumin', '1 teaspoon salt, or to taste']",18g,4.44,134,Spicy Pumpkin Chili Recipe - Allrecipes.com
144,212kcal,27g,&#34;This recipe is quite versatile and can be prepared on the stovetop or in a slow cooker. Adjust the spices to match your own tastes.&#34;,5.1g,"['1 pound ground turkey', '1/2 cup diced onion', '1 clove garlic, minced', '1/2 cup diced green bell pepper', '1/2 cup diced red bell pepper', '1 (14.5 ounce) can diced tomatoes', '1 cup medium salsa', '1 cup chipotle barbeque sauce', '1 (4 ounce) can chopped green chilies', '1 cup corn kernels', '1 (15 ounce) can black beans, rinsed and drained', '1 tablespoon lime juice', '1 teaspoon ground cumin', '1 tablespoon crushed red pepper flakes', '1 tablespoon chili powder', '1 tablespoon dried cilantro', '1/2 teaspoon salt', '1 cup fat-free sour cream, for garnish (optional)']",15.5g,4.66,100,Waistline-Friendly Turkey Chili Recipe - Allrecipes.com
145,164kcal,20.5g,"&#34;This is a delicious, filling chili.  Serve topped with sour cream and tortilla chips!&#34;",3.3g,"['2 tablespoons olive oil', '1 onion, chopped', '2 cloves garlic, minced', '1 pound ground turkey breast', '1 pound butternut squash - peeled, seeded and cut into 1-inch dice', '1/2 cup chicken broth', '1 (4.5 ounce) can chopped green chilies', '2 (14.5 ounce) cans petite diced tomatoes', '1 (15 ounce) can kidney beans with liquid', '1 (15.5 ounce) can white hominy, drained', '1 (8 ounce) can tomato sauce', '1 tablespoon chili powder', '1 tablespoon ground cumin', '1 teaspoon garlic salt']",13.3g,4.65,219,Butternut Squash and Turkey Chili Recipe - Allrecipes.com
146,347kcal,34.8g,"&#34;Who would have thought beans and peanut butter could go together in harmony? They do, in this satisfying vegetarian chili.&#34;",16.1g,"['1 (14.5 ounce) can diced tomatoes', '1/2 cup water', '3 cloves garlic, minced', '2 bay leaves', '1/2 teaspoon cayenne pepper, or to taste', '1 teaspoon chili powder', '1 teaspoon garlic powder', '1 teaspoon Italian seasoning', '1 (15 ounce) can black beans, rinsed and drained', '1 (15 ounce) can kidney beans, rinsed and drained', '1/3 cup creamy peanut butter', 'salt and pepper to taste', '1 cup shredded Cheddar cheese (optional)', '2 cups tortilla chips (optional)']",17.8g,4.02,39,Peanut Butter Chili Recipe - Allrecipes.com
147,488kcal,35.1g,&#34;A very spicy chili that tastes oh so good.  Serve on top of hot cooked spaghetti.&#34;,29g,"['1 pound ground beef', '1 cup chopped green bell pepper', '1/2 cup chopped onion', '3 tablespoons chili powder', '2 cloves garlic, minced', '2 (10.75 ounce) cans condensed tomato soup', '1 (15 ounce) can kidney beans', '1 tablespoon distilled white vinegar', '1/4 teaspoon ground cinnamon', '1/4 cup shredded Cheddar cheese']",24.1g,4.06,13,Cincinnati Chili II Recipe - Allrecipes.com
148,600kcal,55.3g,&#34;This is the chili recipe the gang eats at Purdue Boilermaker football games. I always prep and cook the chili the night before and then reheat the next day. This is a combination of many different tomato-based chili recipes. Good luck and enjoy.&#34;,30.1g,"['2 pounds ground beef chuck', '1 pound bulk Italian sausage', '3 (15 ounce) cans chili beans, drained', '1 (15 ounce) can chili beans in spicy sauce', '2 (28 ounce) cans diced tomatoes with juice', '1 (6 ounce) can tomato paste', '1 large yellow onion, chopped', '3 stalks celery, chopped', '1 green bell pepper, seeded and chopped', '1 red bell pepper, seeded and chopped', '2 green chile peppers, seeded and chopped', '1 tablespoon bacon bits', '4 cubes beef bouillon', '1/2 cup beer', '1/4 cup chili powder', '1 tablespoon Worcestershire sauce', '1 tablespoon minced garlic', '1 tablespoon dried oregano', '2 teaspoons ground cumin', '2 teaspoons hot pepper sauce (e.g. Tabasco&#8482;)', '1 teaspoon dried basil', '1 teaspoon salt', '1 teaspoon ground black pepper', '1 teaspoon cayenne pepper', '1 teaspoon paprika', '1 teaspoon white sugar', '1 (10.5 ounce) bag corn chips such as Fritos&#174;', '1 (8 ounce) package shredded Cheddar cheese']",30.8g,4.80,3901,Boilermaker Tailgate Chili Recipe - Allrecipes.com
149,593kcal,25.1g,"&#34;This Texas-style chili (no beans) has been a hit with family and friends. It originated as a Michigan State tailgating dish, to keep warm during cold football Saturdays (with help from my Texas cousin). As always, you can tweak recipe to adjust heat and consistency. Top with sharp Cheddar cheese, sour cream, diced fresh sweet onions, and tortilla chips. Enjoy!&#34;",26.8g,"['8 slices bacon', '1/4 cup vegetable oil', '3 pounds beef tri tip, cut into 1/2-inch cubes', '1 large sweet onion, chopped', '6 cloves garlic, crushed', '3 jalapeno peppers, diced', '6 tablespoons chili powder', '1 tablespoon ground cumin', '1 tablespoon smoked paprika', '2 (14.5 ounce) cans diced tomatoes', '1 (12 fluid ounce) can or bottle dark beer (such as Shiner Bock&#174;)', '2 fluid ounces tequila', '2 tablespoons dried oregano', '2 teaspoons salt', '1 teaspoon ground black pepper', '4 cups beef stock', '4 chipotle peppers in adobo sauce, chopped', '1/2 cup steak sauce', '1 (11 ounce) can Mexican-style corn, drained', '1 green bell pepper, diced']",54.9g,3.75,4,Spartan Tri Tip Chili Recipe - Allrecipes.com
150,434kcal,17.4g,"&#34;I was going to attempt a chili recipe I got from a friend and discovered I had none of the ingredients. I already had my meats thawed and was set on chili for dinner, so I took what I had in my pantry and went with it. It's a big hit in my house now.&#34;",29.3g,"['2 teaspoons olive oil, or as needed', '1/4 cup chopped onion', '2 cloves garlic, minced', '1 pound ground beef', '12 ounces chorizo sausage', '1 (14 ounce) can diced tomatoes', '1 (14 ounce) can prepared chili', '1 (14 ounce) can butter beans', '3/4 cup tomato sauce', '1 tablespoon chili powder', '1 tablespoon salt-free seasoning blend (such as Mrs. Dash&#174; Chipotle seasoning)', 'salt and ground black pepper to taste']",25.7g,4.00,1,Chorizo Chili Recipe - Allrecipes.com
151,220kcal,24.6g,"&#34;This is a great chili recipe that can be made in a slow cooker for those busy days! I serve mine with sour cream, shredded cheese and onions. Enjoy!&#34;",7.7g,"['1 pound ground beef', '1 (15 ounce) can kidney beans, rinsed and drained', '1 (14.5 ounce) can diced tomatoes', '2 (14.5 ounce) cans Mexican-style stewed tomatoes', '1 green bell pepper, chopped', '1 (4 ounce) can diced green chile peppers', '2 tablespoons chili powder', '2 cloves garlic, minced', '1 teaspoon sea salt', 'ground black pepper to taste', '1 (8 ounce) can whole kernel corn (no salt added), drained']",15g,4.67,15,Busy Day Slow Cooker Chili Recipe - Allrecipes.com
152,253kcal,27.2g,"&#34;Everyone will love this thick, spicy chili made with textured vegetable protein (TVP), kidney beans, and all your favorite chili vegetables and spice.&#34;",11.2g,"['1/2 cup texturized vegetable protein (TVP)', '1 cup water', '2 1/2 tablespoons olive oil', '1 onion, chopped', '6 cloves garlic, minced', '1 teaspoon salt', '1 teaspoon ground black pepper', '2 teaspoons chili powder', '2 teaspoons ground cumin', '2 teaspoons ground cayenne pepper', '1/4 teaspoon cinnamon', '1 tablespoon honey', '2 (12 ounce) cans kidney beans with liquid', '2 (12 ounce) cans diced tomatoes with juice', '1 green bell pepper, chopped', '2 carrots, finely chopped', '1 bunch green onions, chopped', '1 bunch cilantro, chopped', '1 (8 ounce) container dairy sour cream']",13.3g,4.66,68,Wicked Good Veggie Chili Recipe - Allrecipes.com
153,262kcal,30.5g,"&#34;Chicken simmers with beans, onions and brown sugar to create a tasty, comforting dish for those cold winter days.  Great in warm weather too!&#34;",4.8g,"['6 skinless, boneless chicken breast halves', '1 (15 ounce) can dark red kidney beans, undrained', '1 (15 ounce) can pinto beans, undrained', '1 (15 ounce) can black beans, undrained', '2 onions, cut into chunks', '1 green bell pepper, coarsely chopped', '1 (6 ounce) can tomato paste', '1/3 cup brown sugar', '2 tablespoons seasoned rice vinegar', '1 tablespoon Asian chili black bean sauce', '1/2 teaspoon sea salt', '1/2 cup shredded Cheddar cheese']",25.3g,4.27,58,Slow Cooker Sweet Chicken Chili Recipe - Allrecipes.com
154,474kcal,33.5g,"&#34;We have been looking for chorizo recipes. We fell in love with this sausage, and there just are not many recipes for it. My kids ate this on their hot dogs, and, before I knew, it the entire pot was gone.&#34;",27.2g,"['1 tablespoon olive oil', '3 stalks celery, chopped', '1 onion, chopped', '3 cloves garlic, chopped', '1 pound ground beef', '1/2 pound spicy chorizo, casings removed and discarded', '2 (28 ounce) cans tomato sauce', '1 (14.5 ounce) can stewed tomatoes', '1 (6 ounce) can tomato paste', '1 (10 ounce) can diced tomatoes with green chile peppers (such as RO*TEL&#174;)', '1 (1.25 ounce) package chili seasoning mix, or to taste']",29.1g,4.00,3,Beef and Chorizo Chili Recipe - Allrecipes.com
155,179kcal,10.5g,"&#34;This is the chili I make for Super Bowl (and many other occasions). I developed the recipe over about a five year period, and it is a huge hit with my friends. The 'secret' ingredients include Thai fish sauce, lime, and whiskey. This recipe takes a long time with multiple steps. You can braise and shred the beef and make the sauce on separate days, and it's definitely better the next day. Garnish with sweet onion, Cheddar cheese, sour cream, and salsa. Serve over rice, beans, or pasta.&#34;",11.9g,"['1 (2 1/2 pound) beef roast', '4 cups beef stock', '2 tablespoons crushed garlic', '1 fluid ounce Scotch whiskey (such as Laphroiag&#174;)', '2 tablespoons olive oil', '1 large onion, diced', '2 green bell peppers, diced', '2 tablespoons crushed garlic', '2 (28 ounce) cans diced tomatoes', '1 (14 ounce) can tomato sauce', '1/2 cup beef suet (optional)', '1 cup New Mexico red chile powder', '1/4 cup ground cumin, or more to taste', '1/4 cup dried oregano', '2 tablespoons dried basil', '6 tablespoons fish sauce', '2 tablespoons lime juice', '1 fluid ounce Scotch whiskey (such as Laphroiag&#174;)', '1 tablespoon honey', '2 dashes hot pepper sauce, or more to taste', 'salt and ground black pepper to taste']",8.4g,0.00,0,Parker's Perfect Pigskin Chili Recipe - Allrecipes.com
156,453kcal,38.8g,"&#34;Golden brown, slightly sweet cornbread waffles perfectly complement the rich, smoky flavor of beef brisket chili. Serve chili on top of cornbread waffles; top with shredded cheddar cheese and chopped onions. I use fat-free cheese and also some sour cream on mine. This stuff is seriously delicious, so make sure to buy two boxes of cornbread.&#34;",22.9g,"['3 tablespoons olive oil', '1 large yellow onion, chopped', '1/4 cup ancho chili powder', '1/4 cup unsweetened cocoa powder', '4 large cloves garlic, minced', '1 tablespoon dried oregano', '1 tablespoon ground cumin', 'kosher salt', '1 teaspoon freshly ground black pepper', '1/8 teaspoon ground cayenne pepper, or more to taste', '1 (28 ounce) can fire-roasted diced tomatoes with juice', '1 (12 ounce) bottle lager beer (such as Corona&#174;)', '2 (15 ounce) cans ranch-style beans', '1 pound cooked beef brisket, cut into 1/4-inch cubes', '1 1/2 cups beef broth', '1/2 teaspoon liquid smoke flavoring (optional)', '1 (7.5 ounce) package corn bread mix (such as Jiffy&#174;)', '1 egg', '1 tablespoon sour cream', '2/3 cup milk, or as needed']",20.6g,2.50,2,Trina's Beef Brisket Chili with Cornbread Waffles Recipe - Allrecipes.com
157,188kcal,22.6g,"&#34;This is an easy slow cooker meal - use your imagination and season it up as you like! Great on a c-c-c-cold winter night! I serve this with grated cheese, sour cream, chopped cilantro and green onions, and flour tortillas on the side.&#34;",2.3g,"['4 skinless, boneless chicken breast halves', '1 (16 ounce) jar salsa', '2 teaspoons garlic powder', '1 teaspoon ground cumin', '1 teaspoon chili powder', 'salt to taste', 'ground black pepper to taste', '1 (11 ounce) can Mexican-style corn', '1 (15 ounce) can pinto beans']",20.4g,4.53,525,Chicken and Corn Chili Recipe - Allrecipes.com
158,466kcal,53g,"&#34;This is a recipe given to me by a good friend and co-worker. It has a wonderful flavor that I think anyone can appreciate, especially for a quick fix on a cold winter day! Serve with jasmine rice as side with chili or fresh French or Italian bread.&#34;",11.6g,"['1 tablespoon olive oil', '3 skinless, boneless chicken breast halves', '1 large onion, chopped', '2 cloves garlic, minced', '5 1/4 cups chicken broth', '3 (15 ounce) cans cannellini (white kidney) beans, rinsed and drained', '2 (4 ounce) cans chopped green chiles', '1 tablespoon dried oregano', '1 teaspoon ground cumin', '2 pinches cayenne pepper, or to taste', '1/4 cup chopped fresh cilantro, or to taste', '1/2 cup shredded Monterey Jack cheese, or to taste', 'salt to taste']",34.7g,4.56,60,Easy White Chicken Chili Recipe - Allrecipes.com
159,380kcal,26.4g,"&#34;Paleo (eating like our pre-agricultural revolution ancestors ate) chili is made without beans. In the west we typically include beans, but I think even non-paleo eaters will enjoy this deep smoky flavorful chili. This is best made a day ahead so the flavors can meld together. Serve with green onions and sour cream.&#34;",17.2g,"['1 dried chipotle pepper, stem removed', '1 cup boiling water', '1 1/2 teaspoons coconut oil', '1 cup chopped yellow onion', '1 cup chopped green bell pepper', '1 cup chopped red bell pepper', '4 garlic cloves, minced', '1 pound ground bison', '1/2 pound spicy ground pork sausage', '1 tablespoon chili powder', '1 tablespoon ground cumin', '1 teaspoon dried oregano', '1 teaspoon unsweetened cocoa powder', '1 teaspoon Worcestershire sauce', '1 (28 ounce) can crushed tomatoes', '1 1/2 teaspoons kosher salt', '1/2 teaspoon ground black pepper']",33g,4.85,64,Paleo Chili Recipe - Allrecipes.com
160,386kcal,62.9g,"&#34;Made a chicken chili recipe, and it was bland. So I took the ingredients and added my own flair. My family loves it when it gets cold out, because they know this will be on the menu. It's very flavorful. Serve with tortilla chips and sliced avocado for something different. Serve with sour cream and cheese.&#34;",2.9g,"['1 (16 ounce) jar green salsa (salsa verde)', '1 (16 ounce) can diced tomatoes with green chile peppers', '2 (15 ounce) cans white beans, drained', '1 (14.5 ounce) can chicken broth', '1 (14 ounce) can corn, drained', '1 onion, chopped', '1/2 teaspoon dried oregano', '1/4 teaspoon ground cumin', 'salt and ground black pepper to taste', '3 skinless, boneless chicken breasts']",28.8g,4.54,89,Crock-Pot® Chicken Chili Recipe - Allrecipes.com
161,420kcal,53.6g,"&#34;This is a great chili recipe for your slow cooker. It allows you to spice it up as hot as you can take it. Oh, and let's not forget the garlic, eh!&#34;",12.5g,"['2 pounds lean ground beef', '1/2 large onion, diced', '1 tablespoon crushed red pepper', '3 tablespoons garlic powder', '1 tablespoon seasoned pepper', '2 (4 ounce) cans mushroom pieces, drained', '1 (28 ounce) can baked beans', '2 (15.25 ounce) cans kidney beans with liquid', '2 (6 ounce) cans tomato paste', '1/4 cup white sugar', '3 carrots, sliced', '3 stalks celery, sliced', '1 green bell pepper, diced', '1 red bell pepper, diced', '2 jalapeno chile peppers, diced', '1/4 cup Canadian beer', '2 tablespoons crushed red pepper', 'hot sauce', '1/4 cup barbeque sauce']",28.8g,4.30,77,Atomic Canuck Chili Recipe - Allrecipes.com
162,315kcal,30.3g,"&#34;After browsing through many, many chili recipes, I ended up creating one of my own.&#34;",11.2g,"['3 (14.5 ounce) cans stewed tomatoes, chopped', '1/2 cup beer', '1/4 teaspoon hot sauce', '2 beef bouillon cubes', '1 tablespoon brown sugar', '1/2 teaspoon chili powder', '1/2 teaspoon paprika', '1/4 teaspoon dried oregano', '1/4 teaspoon garlic powder', '1/8 teaspoon cayenne pepper', '1 teaspoon olive oil', '1/2 red onion, chopped', '1 pound ground chicken', '3/4 pound bulk Italian sausage', '2 (6 ounce) cans tomato paste', '1 (15 ounce) can kidney beans, rinsed and drained']",24.7g,4.33,53,Slow Cooker Chicken and Sausage Chili Recipe - Allrecipes.com
